Ja I
i and
miec have
przestraszony scared
kot cat
zszokowany shocked
dziecko child
ty you
sniadanie breakfast
ciemny dark
brwi eyebrows
owalny oval
blady pale
chudy thin
wzor pattern
duzy large
paznokcie nails
kawalerka studio
balkon balcony
podloga floor
dach roof
okno window
kominek fireplace
lustro mirror
dywan rug
locator tenant
kredyt credit
cena price
przedmiescia suburbs
biologia biology
szkola school
chemia chemistry
matematyka maths
zadanie assignment
uczestniczyc attend
sciagac cheat
oblac fail
oplaty fees
wydatki expenses
semester term
czesne tuition
ratownik lifeguard
gornik miner
klient client
zysk profit
awans promotion
pensja salary
placa wage
emerytuta pension
zrezygnowac resign
nastolatek adolescent
dorosly adult
niemowle baby
ochrzcic baptise
wychowac raise
traktowac treat
brokuly broccoli
wisnia cherry
ogorek cucumber
losos salmon
tunczyk tuna
przygotowac prepare
stolowka canteen
dodac add
piec bake
smazyc fry
wazyc weight
piekarnia bakery
wadliwy faulty
zwrocic return
samolot plane
samochod car
pociąg train
hamulce brakes
blad effort
lotnisko airport
lot flight
walizka suitcase
komponowac compose
muzyka music
plotno canvas
wystawa exhibition
wygrawerowac engrave
imie name
pokonac beat
zlapac catch
uderzyc hit
trenowac train
boisko field
lodowisko rink
remis tie
smialy daring
finałowy finishing
miesiec muscle
fizyczny physical
kostka ankle
ramie arm
kosci bones
serce heart
noga leg
pluca lungs
zyly veins
jesc eat
pic drink
spac sleep
rak cancer
przeziebienie cold
infekcja infection
siniak bruise
rana cut
blizna scar
wysypka rash
stomatology dentist
lekarz doctor
chirurg surgeon
polozna midwife
kule crutches
badanie examination
tabletka pill
gips plaster
szwy stitches
wyleczyć cure
nosze stretcher
oddzial ward
nagla urgent
odkryc uncover
wynaleźć invent
ikona icon
programowanie programming
zalaczyc attach
usunac delete
edytowac edit
zainstalowac install
sciagnac download
opuscic skip
aktualizowac update
przeslac upload
pisac write
ambicja ambition
cel goal
kandydat entrant
mgla fog
wiatr wind
karmic feed
polowac hunt
swiadek witness
ostrzezenie warning
proces trial
bandyta mugger
porywacz kiddnapper
krasc steal
wyrok sentence
mily kind
podroz journey
wycieczka trip
podrobka fake
zebra zebra 
